zone_id,zone_nom,code_dept,niveau_text,niveau_int,communes,n_communes,lat,lon,bws_raw,gws_raw,sev_raw,x_bws,x_gws,x_sv,x_a,spei3_t,spei12_t,spei3_lag1,spei12_lag1,spei3_lag2,spei12_lag2,S_struct_v2,S_conj_v2,H_v2,S_struct_v3,S_conj_v3,H_v3
9160,OUGC Karst /  Zone d'alerte : Bonnieure,16,alerte,2,[],1,45.80740826567285,0.4963896310480426,0.4644896984100342,0.09303999692201614,0.5765413493178984,0.774149497350057,0.6202666461467743,0.1921804497726328,0.06643762133901485,-1.1526969010752488,-0.9763081154854742,0.3137831882652632,-0.4046231176827402,-0.9183584710564241,-0.1948159720119775,0.4978296228176223,0.34858616027244227,0.4166396401659964,0.44017381167716735,0.3656224931366265,0.39872806884901435
9162,OUGC Karst /  Zone d'alerte : Échelle-Lèche,16,alerte,2,[],1,45.60511343978727,0.304511485222034,0.4644896984100342,0.09303999692201614,0.5765413493178984,0.774149497350057,0.6202666461467743,0.1921804497726328,0.2493575303893851,-1.546678197763298,-1.162999251892852,-0.13526925553830185,-0.3582535383795516,-1.184141343068021,-0.10060089718864185,0.5636807900757556,0.407682817135583,0.4723630130407208,0.5338401641054653,0.4360920589690674,0.47467671186406635
9163,OUGC Karst /  Zone d'alerte : Tardoire,16,alerte,2,[],1,45.7488186056097,0.4420646160288403,0.4644896984100342,0.09303999692201614,0.5765413493178984,0.774149497350057,0.6202666461467743,0.1921804497726328,0.06643762133901485,-1.1526969010752488,-0.9763081154854742,0.3137831882652632,-0.4046231176827402,-0.9183584710564241,-0.1948159720119775,0.4978296228176223,0.34858616027244227,0.4166396401659964,0.44017381167716735,0.3656224931366265,0.39872806884901435
9165,OUGC Saintonge /  Zone d'alerte : L'Antenne,16,alerte,2,[],1,45.74950524812753,-0.18746783238032183,0.4644896984100342,0.09303999692201614,0.5765413493178984,0.774149497350057,0.6202666461467743,0.1921804497726328,0.27807904717024645,-1.9674703902735495,-1.7144048482774452,-0.6677323736585539,-1.1498804692283517,-2.1036724890915286,-0.7410042772045498,0.5740205361168657,0.48019893350180937,0.5143369318717224,0.5438300533883363,0.49590045967246554,0.5128133599846447
9173,OUGC Cogesteau /  Zone d'alerte : Auge,16,alerte,2,[],1,45.84094309430921,-0.05325325020872039,0.4644896984100342,0.09303999692201614,0.5765413493178984,0.774149497350057,0.6202666461467743,0.1921804497726328,0.24109528003810582,-1.755023295900786,-1.4663399426591193,-0.5447448151817559,-0.8508544057925742,-1.3185635944252816,-0.42216390922296015,0.560706379949295,0.44765080218622894,0.49136311256629034,0.530821973039301,0.46738013524887506,0.4910334033933247
9175,OUGC Cogesteau /  Zone d'alerte : Bief,16,alerte,2,[],1,45.962654704354414,0.13710826308020216,0.4644896984100342,0.09303999692201614,0.5765413493178984,0.774149497350057,0.6202666461467743,0.1921804497726328,0.22128221051865313,-1.3659508869197103,-1.4021668703969747,-0.05550014623238838,-0.7503292033715183,-1.360999373115117,-0.6089036017930709,0.553573674922292,0.4090268161757397,0.4688231383034116,0.5232892611523188,0.4121393581830293,0.4578778154912237
9177,OUGC Cogesteau /  Zone d'alerte : Charente-Moyenne,16,alerte,2,[],1,45.65445857206698,-0.13022713301911246,0.4644896984100342,0.09303999692201614,0.5765413493178984,0.774149497350057,0.6202666461467743,0.1921804497726328,0.27807904717024645,-1.9674703902735495,-1.7144048482774452,-0.6677323736585539,-1.1498804692283517,-2.1036724890915286,-0.7410042772045498,0.5740205361168657,0.48019893350180937,0.5143369318717224,0.5438300533883363,0.49590045967246554,0.5128133599846447
9178,OUGC Cogesteau /  Zone d'alerte : Né,16,alerte_renforcee,3,[],1,45.512210170872606,-0.08175799257154001,0.4644896984100342,0.09303999692201614,0.5765413493178984,0.774149497350057,0.6202666461467743,0.1921804497726328,0.25356814721773924,-1.6727849156598489,-1.431827148977095,-0.3730485972982292,-0.7097542192832934,-1.8348655260465183,-0.37385757593143015,0.565196612133963,0.438158834551792,0.488121371660694,0.535352265782475,0.45545409112510415,0.48590984802047443
9183,OUGC Saintonge /  Zone d'alerte : Seugne,16,alerte,2,[],1,45.39171023603663,-0.22184140993710452,0.4644896984100342,0.09303999692201614,0.5765413493178984,0.774149497350057,0.6202666461467743,0.1921804497726328,0.28408099002205284,-1.7950778015818616,-1.4660937248780657,-0.37476750230309386,-0.7980298448889285,-1.6931693644981691,-0.4693857838925173,0.576181235543516,0.45110287241213043,0.4991614803844775,0.5458270089608025,0.4730015813730192,0.49986680099523606
9169,OUGC Clain /  Zone d'alerte : Clain-Amont,16,crise,4,,0,46.078112531361064,0.5633869824349773,0.060734476894140244,0.09303999692201614,0.3794036222253042,0.1012241281569004,0.6202666461467743,0.1264678740751014,0.1504996416760357,-1.0779866254560895,-1.1077717755592251,0.2796935677987825,-0.4857390520377655,-1.2502286985076052,-0.4582387643618001,0.19162926554237147,0.3533868217967204,0.28017062451310615,0.1630886765377223,0.3564520999486483,0.26934506239065903
